,Month,Cor. selva,Cor. sierra,Cor. costa
0,Jan,0.2161382343669425,0.1929483877528793,0.7293125931542063
1,Feb,0.1349465198201728,0.1550251298983009,0.6484840670837392
2,March,0.1220003994003811,0.2821577082261175,0.6711903075288197
3,April,0.1295209299650193,0.4438533496225691,0.696388183768137
4,May,0.2040249031640992,0.5949456982537266,0.755320414226647
5,June,0.2326439355750831,0.4003225350359818,0.5426444424385012
6,July,0.3639735434629972,0.4518140744628919,0.1767493247196809
7,Aug,0.3063486587690874,0.4544227582378137,0.1640839143666909
8,Sept,0.1741352474520764,0.4964585311693597,0.3506780095259912
9,Oct,0.140006820939113,0.5261217412484552,0.5263219948750008
10,Nov,0.0544345118374001,0.5030100014987743,0.5854067453343172
11,Dec,0.214425820529484,0.3813527757244616,0.6968141826682683
